457 9803
372 79 20
189 429 54
425 255 1
379 120 16
180 145 93
79 311 18
315 296 30
40 133 83
292 353 42
257 9 18
97 401 11
181 231 77
201 72 77
267 79 90
437 394 97
401 141 45
150 53 66
185 139 94
356 375 25
324 24 98
257 19 23
123 313 46
255 176 90
359 384 41
381 412 70
161 350 11
188 270 97
316 391 82
424 237 55
58 433 60
400 307 64
356 174 33
313 134 33
116 442 24
425 155 95
456 270 53
19 67 19
217 428 44
339 307 98
410 454 91
366 25 77
361 80 32
363 359 33
401 73 43
171 4 50
298 274 54
112 58 9
162 399 58
241 108 56
264 295 52
8 298 81
212 4 18
127 411 3
161 75 38
431 328 74
16 35 35
114 328 91
343 178 88
46 212 12
356 455 76
56 347 27
28 32 19
66 104 54
338 347 21
336 255 22
378 34 54
155 442 53
98 126 97
422 6 58
412 118 79
269 42 1
51 350 43
427 27 90
235 202 97
250 40 81
23 151 83
406 376 85
326 9 84
20 377 85
61 163 90
181 10 84
396 87 36
288 394 63
450 203 89
66 456 91
90 257 75
22 242 39
380 382 90
454 102 63
374 434 40
390 78 70
188 384 26
262 358 9
379 388 71
310 147 64
210 361 30
263 103 3
108 423 33
261 99 5
258 283 34
18 38 35
198 207 27
238 296 3
369 382 35
76 80 95
181 163 30
406 336 36
176 39 94
457 131 6
289 355 66
417 280 73
365 156 46
31 402 76
313 267 77
87 261 18
298 291 46
371 337 82
52 223 14
331 396 35
303 164 100
434 333 74
77 93 64
173 340 11
110 272 69
58 189 39
281 101 95
217 227 39
115 111 51
262 356 93
104 423 89
22 264 36
43 142 67
27 91 16
329 366 39
28 350 25
133 253 39
300 131 96
142 283 11
445 377 34
260 401 16
325 41 65
206 199 24
170 22 94
279 199 57
142 165 99
297 26 59
340 162 11
334 285 71
180 390 57
338 362 63
169 171 30
226 42 87
283 263 57
5 135 98
319 292 25
312 13 89
435 13 55
287 385 68
172 179 6
380 341 24
269 280 48
3 161 13
397 272 91
13 294 70
456 92 47
152 321 16
180 431 76
190 238 10
66 303 65
414 252 27
449 166 52
40 86 61
45 1 19
215 221 42
43 311 4
156 314 94
445 91 4
330 178 51
160 226 46
216 207 98
158 400 92
157 329 36
57 194 44
64 78 85
158 115 28
126 427 17
244 376 70
92 320 29
234 410 66
457 355 60
29 169 30
44 315 19
414 384 96
69 327 86
159 400 91
272 286 16
21 19 48
410 94 70
142 51 26
24 307 18
19 129 54
427 132 17
186 345 50
256 32 64
157 181 37
5 419 46
392 9 76
287 334 64
227 148 60
454 431 2
132 6 17
52 242 39
297 363 11
128 365 84
236 210 26
373 11 69
236 73 18
222 329 69
9 246 76
14 374 91
146 120 9
457 106 95
155 91 38
372 176 89
117 154 90
284 33 42
1 414 61
60 354 92
18 252 27
395 347 52
291 279 38
309 129 51
415 385 29
49 260 63
69 389 60
15 116 53
33 349 16
221 133 42
191 176 59
122 166 95
6 337 35
419 117 59
448 191 36
52 314 52
418 352 60
225 335 48
74 100 71
435 250 97
436 330 67
333 112 38
89 436 92
24 136 9
28 155 34
14 107 84
416 427 27
432 174 80
27 48 36
13 233 51
359 451 22
49 191 95
275 21 41
396 197 34
193 362 78
273 399 44
192 27 49
181 315 39
74 75 46
83 41 64
135 282 88
325 284 15
167 97 79
241 264 67
58 104 85
344 59 81
325 55 35
438 127 1
227 289 6
193 85 9
241 446 80
285 253 72
431 187 21
286 48 27
50 380 50
250 340 39
156 256 67
131 206 50
190 97 56
85 191 4
265 75 22
432 234 91
388 226 33
268 57 42
12 190 75
436 267 89
445 143 14
168 120 60
123 44 86
130 404 93
346 9 19
152 276 86
336 255 13
385 57 85
416 68 78
280 100 23
115 312 77
272 425 80
190 201 72
77 137 64
4 56 26
196 384 80
353 453 34
209 202 36
134 344 64
349 386 70
144 298 2
186 267 34
19 93 46
383 71 34
145 241 43
102 271 87
55 396 13
275 157 30
83 16 76
313 272 31
412 9 43
257 132 38
198 246 24
75 453 67
254 96 6
55 110 80
157 235 64
81 276 52
219 455 61
126 251 91
107 395 46
331 158 12
194 265 56
289 130 88
161 112 74
150 16 29
130 314 27
158 124 88
26 453 78
317 454 99
420 106 4
267 174 92
243 137 36
182 194 91
88 409 80
219 137 21
122 40 68
385 454 28
171 380 23
76 313 25
341 305 59
186 67 28
98 44 99
239 221 19
342 322 67
309 353 44
434 193 51
377 309 36
48 15 77
204 289 2
268 360 60
110 240 24
234 185 28
133 118 24
301 63 70
450 66 58
127 284 86
56 376 59
125 94 37
247 102 39
71 35 88
425 298 94
186 337 6
258 233 3
347 80 82
199 70 85
117 136 97
274 179 16
102 357 68
307 154 97
198 346 19
197 34 87
135 317 81
65 235 28
94 13 65
200 354 29
371 104 13
231 214 91
390 229 49
71 274 80
58 335 30
250 328 50
241 271 60
169 329 4
1 175 42
236 102 86
456 231 13
319 218 23
455 179 32
24 393 56
335 219 55
43 8 14
167 25 15
103 309 70
201 324 52
397 209 28
350 406 97
81 392 87
16 338 76
257 155 88
241 422 54
57 56 29
343 3 100
234 143 34
448 3 6
228 183 48
278 321 46
95 10 16
103 421 35
444 59 88
40 440 71
105 179 28
211 333 80
168 219 18
237 448 96
296 362 22
319 199 5
239 182 34
131 32 85
386 442 51
111 10 50
112 353 81
59 447 32
256 203 35
339 442 30
34 314 53
10 457 63
148 393 6
420 14 41
207 24 51
60 103 7
206 268 22
201 315 11
228 148 93
300 145 7
1 403 31
296 129 70
331 330 11
219 437 63
372 145 42
70 57 6
40 353 43
436 378 99
118 258 88
20 234 37
177 244 97
267 78 98
121 183 3
